Date,Open,High,Low,Close,Volume,Adj Close
2009-01-28,655.00,660.00,635.10,653.60,1412200,317.889
2009-01-27,620.00,649.50,616.00,647.75,762700,315.043
2009-01-23,623.00,624.90,605.00,615.65,1577700,299.431
2009-01-22,598.80,623.65,588.90,619.70,2867300,301.401
2009-01-21,606.00,606.00,576.00,583.60,1902700,283.843
2009-01-20,634.00,639.00,608.80,615.35,1665000,299.285
2009-01-19,634.00,652.00,633.30,646.95,796900,314.654
2009-01-16,610.00,636.65,608.50,632.85,976700,307.797
2009-01-15,608.00,614.75,582.20,604.05,1421600,293.789
2009-01-14,615.00,634.80,612.35,624.25,807300,303.614
2009-01-13,628.00,640.00,594.10,607.10,2015000,295.273
2009-01-12,644.00,644.00,608.00,624.60,2420500,303.784
2009-01-09,642.40,652.00,607.10,637.15,1598500,309.888
2009-01-08,649.10,649.10,649.10,649.10,000,315.70
2009-01-07,660.00,668.75,614.00,649.10,2597300,315.70
2009-01-06,688.00,694.80,651.00,656.80,2922600,319.445
2009-01-05,715.00,715.00,677.10,685.35,2710400,333.331
2009-01-02,720.00,725.00,697.60,704.80,1674900,342.791
2009-01-01,719.70,725.00,709.00,719.60,599500,349.989
2008-12-31,730.00,732.90,711.00,715.10,806000,347.80
2008-12-30,711.15,733.80,705.00,722.40,785500,351.351
2008-12-29,684.00,714.90,665.25,711.15,534300,345.879
2008-12-26,691.10,696.70,679.25,686.70,5638400,333.987
2008-12-25,689.35,689.35,689.35,689.35,000,335.276
2008-12-24,709.70,716.80,680.55,689.35,1434700,335.276
2008-12-23,717.00,720.00,702.00,711.25,505700,345.928
2008-12-22,725.70,732.00,712.10,721.50,486100,350.913
2008-12-19,704.00,732.00,704.00,721.55,1292000,350.937
2008-12-18,710.00,720.00,698.25,710.55,2470500,345.587
2008-12-17,756.50,756.50,704.00,709.65,1035300,345.149
2008-12-16,729.05,749.45,724.50,744.85,768100,362.27
2008-12-15,722.30,748.00,722.30,737.50,829300,358.695
2008-12-12,732.25,735.00,710.00,722.30,1170600,351.302
2008-12-11,737.00,750.00,716.10,742.30,1261400,361.029
2008-12-10,710.50,740.00,707.00,735.75,1798300,357.844
2008-12-08,697.60,716.55,680.00,700.80,1528000,340.845
2008-12-05,685.00,697.00,660.25,665.30,1020200,323.579
2008-12-04,663.00,689.95,653.00,685.20,1825800,333.258
2008-12-03,689.90,689.90,646.50,663.85,1682500,322.874
2008-12-02,640.00,675.00,630.00,671.00,1952600,326.351
2008-12-01,675.00,694.40,646.05,651.15,1239800,316.697
2008-11-28,600.00,675.00,600.00,671.05,1842600,326.376
2008-11-26,630.00,659.00,622.00,654.70,1221400,318.424
2008-11-25,655.00,665.00,617.00,626.45,1727500,304.684
2008-11-24,631.00,645.55,598.00,636.00,1785600,309.329
2008-11-21,600.00,630.00,582.10,619.10,1762000,301.109
2008-11-20,590.00,598.50,575.95,592.20,2991700,288.026
2008-11-19,623.20,637.70,602.50,611.65,4524100,297.486
2008-11-18,650.00,658.50,615.00,623.00,1641500,303.006
2008-11-17,649.90,674.00,626.00,665.05,1559900,323.458
2008-11-14,650.00,672.60,635.00,650.15,1797800,316.211
2008-11-12,654.00,673.90,611.00,631.25,2317200,307.018
2008-11-11,705.00,709.00,650.00,658.25,1685400,320.15
2008-11-10,673.00,723.00,660.00,709.35,1309600,345.004
2008-11-07,625.00,660.00,625.00,650.00,1459100,316.138
2008-11-06,660.00,724.65,619.00,639.45,2199000,311.007
2008-11-05,730.00,740.15,680.00,684.75,1737000,333.039
2008-11-04,688.00,732.70,666.20,717.30,2458600,348.87
2008-11-03,675.00,700.00,665.00,687.65,1233100,334.449
2008-10-31,610.00,665.00,596.00,649.00,2601300,315.651
2008-10-29,628.00,655.65,575.80,615.05,1841600,299.139
2008-10-28,600.00,615.00,590.00,610.55,207200,296.951
2008-10-27,512.00,588.80,484.00,566.45,1669700,275.502
2008-10-24,609.05,609.05,506.00,534.45,2806300,259.938
2008-10-23,646.70,648.00,608.30,615.60,1781800,299.407
2008-10-22,718.00,718.00,660.60,667.40,1484600,324.601
2008-10-21,715.00,737.50,673.00,723.55,1398200,351.91
2008-10-20,699.80,715.00,676.80,708.05,1277200,344.371
2008-10-17,740.00,749.90,668.00,676.80,1270600,329.172
2008-10-16,691.10,752.50,655.00,731.45,1695800,355.752
2008-10-15,750.30,752.00,696.20,718.80,1334000,349.60
2008-10-14,765.60,783.90,762.15,764.30,645100,371.729
2008-10-13,701.00,756.20,695.10,738.00,1910300,358.938
2008-10-10,700.00,712.00,650.00,691.30,8355900,336.225
2008-10-08,740.00,742.00,704.50,732.90,1825100,356.457
2008-10-07,735.00,766.90,730.00,749.05,2321600,364.312
2008-10-06,737.00,745.00,715.00,729.65,2476000,354.877
2008-10-03,779.90,787.00,742.50,756.45,6141000,367.911
2008-10-01,787.00,806.00,753.00,790.00,965600,384.229
2008-09-30,710.00,798.00,710.00,785.05,5074100,381.821
2008-09-29,775.00,775.85,710.00,746.65,2332400,363.145
2008-09-26,785.00,794.50,768.25,776.30,1051000,377.566
2008-09-25,810.55,813.50,779.20,790.65,2475100,384.545
2008-09-24,797.65,814.75,779.00,810.40,2271800,394.151
2008-09-23,794.75,801.00,781.05,794.25,1645400,386.296
2008-09-22,805.00,814.00,799.00,808.60,5504100,393.275
2008-09-19,779.60,816.10,779.60,799.10,6677900,388.655
2008-09-18,749.90,766.90,700.00,760.35,10808900,369.808
