Date,Open,High,Low,Close,Volume,Diff,Gain,Loss,Avg. Gain,Avg. Loss,RS,1+RS,RSI_day_14,SMA_50,SMA_25
23-Feb-16,701.45,708.4,693.58,695.85,1999699,-5.6,0,-5.6,3.1478571429,-8.8885714286,0.3541465767,1.3541465767,26.1527505789,724.8922,706.9968
22-Feb-16,707.45,713.24,702.51,706.46,1946067,-0.99,0,-0.99,3.2578571429,-8.8178571429,0.3694613204,1.3694613204,26.978587484,726.0104,707.3272
19-Feb-16,695.03,703.08,694.05,700.91,1582260,5.88,5.88,0,3.6535714286,-8.8178571429,0.4143377886,1.4143377886,29.2955326462,727.2572,707.3132
18-Feb-16,710,712.35,696.03,697.35,1859130,-12.65,0,-12.65,4.2778571429,-7.9142857143,0.5405234657,1.5405234657,35.0869998245,728.6464,708.462
17-Feb-16,699,709.75,691.38,708.4,2466808,9.4,9.4,0,3.6064285714,-8.8914285714,0.4056073265,1.4056073265,28.8563753785,729.5292,708.7672
16-Feb-16,692.98,698,685.05,691,2497024,-1.98,0,-1.98,3.6064285714,-8.8078571429,0.409455843,1.409455843,29.0506329112,730.9568,709.706
12-Feb-16,690.26,693.75,678.6,682.4,2129831,-7.86,0,-7.86,3.6064285714,-9.0971428571,0.3964353015,1.3964353015,28.3890919312,732.6496,711.4656
11-Feb-16,675,689.35,668.87,683.11,3007223,8.11,8.11,0,3.145,-9.0971428571,0.3457129397,1.3457129397,25.6899469047,733.8394,713.886
10-Feb-16,686.86,701.31,682.13,684.12,2627379,-2.74,0,-2.74,3.46,-8.9014285714,0.388701653,1.388701653,27.9902923841,735.1622,716.2244
9-Feb-16,672.32,699.9,668.77,678.11,3604335,5.79,5.79,0,3.7492857143,-8.9014285714,0.4212004494,1.4212004494,29.636948789,736.563,718.7736
8-Feb-16,667.85,684.03,663.06,682.74,4212541,14.89,14.89,0,2.6857142857,-9.0092857143,0.2981051296,1.2981051296,22.9646369021,737.8738,721.8192
5-Feb-16,703.87,703.99,680.15,683.57,5069985,-20.3,0,-20.3,2.84,-7.5592857143,0.3756968723,1.3756968723,27.3095679648,739.322,725.3164
4-Feb-16,722.81,727,701.86,708.01,5145855,-14.8,0,-14.8,3.5071428571,-6.5021428571,0.5393826211,1.5393826211,35.0388924567,740.2938,728.06
3-Feb-16,770.22,774.5,720.5,726.95,6162333,-43.27,0,-43.27,3.5071428571,-5.575,0.6290839206,1.6290839206,38.6158081004,740.523,729.4824
2-Feb-16,784.5,789.87,764.65,764.65,6332431,-19.85,0,-19.85,3.8207142857,-4.1571428571,0.9190721649,1.9190721649,47.8914853612,740.03,728.8324
1-Feb-16,750.46,757.86,743.27,752,4801816,1.54,1.54,0,3.7107142857,-4.1985714286,0.883804015,1.883804015,46.915921611,739.496,728.7648
29-Jan-16,731.53,744.99,726.8,742.95,3394935,11.42,11.42,0,2.895,-5.4114285714,0.5349788807,1.5349788807,34.8525238628,739.2162,729.0468
28-Jan-16,722.22,733.69,712.35,730.96,2658016,8.74,8.74,0,2.2707142857,-5.6914285714,0.3989708835,1.3989708835,28.5188840045,738.937,729.7192
27-Jan-16,713.67,718.24,694.39,699.99,2139970,-13.68,0,-13.68,3.2435714286,-4.7142857143,0.688030303,1.688030303,40.759357329,739.5618,731.292
26-Jan-16,713.85,718.28,706.48,713.04,1324300,-0.81,0,-0.81,3.2435714286,-4.9328571429,0.6575441645,1.6575441645,39.669782476,740.009,732.7476
25-Jan-16,723.58,729.68,710.01,711.67,1704641,-11.91,0,-11.91,3.2435714286,-4.165,0.7787686503,1.7787686503,43.781334362,740.342,734.6044
22-Jan-16,723.6,728.13,720.12,725.25,2006528,1.65,1.65,0,3.1257142857,-4.9235714286,0.6348469462,1.6348469462,38.8321945158,740.3348,735.3304
21-Jan-16,702.18,719.19,694.46,706.59,2410263,4.41,4.41,0,2.8107142857,-5.3235714286,0.527975312,1.527975312,34.5539164031,740.8782,736.9776
20-Jan-16,688.61,706.85,673.26,698.45,3439386,9.84,9.84,0,2.8157142857,-5.3235714286,0.5289145311,1.5289145311,34.5941202281,741.5342,738.5944
19-Jan-16,703.3,709.98,693.41,701.79,2258479,-1.51,0,-1.51,3.5007142857,-5.2157142857,0.6711859764,1.6711859764,40.1622551831,742.0606,740.5012
15-Jan-16,692.29,706.74,685.37,694.45,3592449,2.16,2.16,0,3.3464285714,-5.2978571429,0.6316570042,1.6316570042,38.7126094858,742.6148,742.7876
14-Jan-16,705.38,721.92,689.1,714.72,2211853,9.34,9.34,0,2.6792857143,-5.5235714286,0.4850640114,1.4850640114,32.6628352492,742.7426,744.6936
13-Jan-16,730.85,734.74,698.61,700.56,2468295,-30.29,0,-30.29,2.6792857143,-3.4778571429,0.7703840624,1.7703840624,43.5150812066,742.9476,747.2012
12-Jan-16,721.68,728.75,717.32,726.07,2024509,4.39,4.39,0,2.4828571429,-3.4778571429,0.7139042925,1.7139042925,41.6536848416,742.7646,748.8308
11-Jan-16,716.61,718.86,703.54,716.03,2090621,-0.58,0,-0.58,2.4828571429,-3.9507142857,0.6284577834,1.6284577834,38.5922060624,742.703,750.2912
8-Jan-16,731.45,733.23,713,714.47,2450857,-16.98,0,-16.98,2.4828571429,-3.6657142857,0.6773187841,1.6773187841,40.3810408926,742.5834,752.2076
7-Jan-16,730.31,738.5,719.06,726.39,2963741,-3.92,0,-3.92,3.0607142857,-3.3857142857,0.9040084388,1.9040084388,47.4792243766,742.3112,753.8336
6-Jan-16,730,747.18,728.92,743.62,1947034,13.62,13.62,0,2.0878571429,-4.0714285714,0.5128070176,1.5128070176,33.8977154127,741.4788,753.7928
5-Jan-16,746.45,752,738.64,742.58,1950691,-3.87,0,-3.87,2.515,-3.795,0.6627140975,1.6627140975,39.8573692552,739.663,754.1
4-Jan-16,743,744.06,731.26,741.84,3258199,-1.16,0,-1.16,2.515,-3.8757142857,0.6489126428,1.6489126428,39.3539733989,737.6784,754.3524
31-Dec-15,769.5,769.5,758.34,758.88,1500923,-10.62,0,-10.62,2.515,-3.3592857143,0.748671061,1.748671061,42.8137159533,735.5064,753.9284
30-Dec-15,776.6,777.6,766.9,771,1293521,-5.6,0,-5.6,2.515,-3.4992857143,0.7187181057,1.7187181057,41.8171021378,733.4084,753.3276
29-Dec-15,766.69,779.98,766.43,776.6,1765012,9.91,9.91,0,2.1271428571,-3.4992857143,0.607879159,1.607879159,37.8062714227,731.1204,752.5276
28-Dec-15,752.92,762.99,749.52,762.51,1515716,9.59,9.59,0,1.4421428571,-3.8221428571,0.3773126518,1.3773126518,27.3948439614,729.105,751.5636
24-Dec-15,749.55,751.35,746.62,748.4,527223,-1.15,0,-1.15,2.4214285714,-3.74,0.6474407945,1.6474407945,39.2997913283,727.1602,751.2276
23-Dec-15,753.47,754.21,744,750.31,1566726,-3.16,0,-3.16,2.4214285714,-4.4764285714,0.540928674,1.540928674,35.1040695866,725.2,750.2272
22-Dec-15,751.65,754.85,745.53,750,1365520,-1.65,0,-1.65,2.4214285714,-4.8242857143,0.5019247853,1.5019247853,33.4187697158,723.1334,749.3856
21-Dec-15,746.13,750,740,747.77,1525703,1.64,1.64,0,3.7278571429,-4.8242857143,0.7727272727,1.7727272727,43.58974359,721.0502,748.1548
